k,kernel,valid_loss
3223,rank,116197.52217838957
3438,rank,117098.6946641626
3653,rank,117958.71289900408
3867,rank,118786.41361833652
4082,rank,119591.88136975084
1,optimal,143941.26720746545
215,optimal,91261.71752511967
430,optimal,93754.92087143712
645,optimal,95689.035751379
860,optimal,97411.4312158033
1075,optimal,98971.76228875414
1289,optimal,100429.28844636588
1504,optimal,101779.10146046926
1719,optimal,103024.31100671695
1934,optimal,104186.69459316047
2149,optimal,105264.1371288958
2364,optimal,106279.51742090064
2578,optimal,107238.1005958545
2793,optimal,108149.66718186472
3008,optimal,109010.6350487699
3223,optimal,109823.14167174432
3438,optimal,110595.09591654406
3653,optimal,111333.7407346854
3867,optimal,112042.76955059236
4082,optimal,112730.97608140307
