gamma,C,epsilon,train_loss,valid_loss
0.1,100,0.15,8294.969281133954,112962.96282269194
0.2,100,0.15,6819.629341197074,119732.48601537084
0.5,100,0.15,5837.474525079183,128225.35579583795
1,100,0.15,5301.1927675203915,133357.2911128456
0.01,0.01,0.2,88255.75152351483,89647.17204078399
0.1,0.01,0.2,119650.06750909013,120264.44178486883
0.2,0.01,0.2,143377.06964347253,142625.4295005379
0.5,0.01,0.2,157733.42275650767,156206.90511318253
1,0.01,0.2,161289.65501166764,159541.41372719614
0.01,0.1,0.2,74774.84058395376,78653.36688547242
0.1,0.1,0.2,86073.9284795146,101160.44950384837
0.2,0.1,0.2,99928.0795183357,117661.02744387067
0.5,0.1,0.2,114909.0081935236,133819.11688725546
1,0.1,0.2,120094.4578566463,139846.9960481727
0.01,1,0.2,58419.954614560054,70636.948144347145
0.1,1,0.2,33217.71063588387,88613.03257033127
0.2,1,0.2,27563.1907529245,102602.72103214625
0.5,1,0.2,22342.875280514072,117198.91603847052
1,1,0.2,19207.667069437477,123526.59837700738
0.01,10,0.2,43291.96061939174,72616.84763040963
0.1,10,0.2,14825.027943585923,94827.98400465673
0.2,10,0.2,12028.158449333641,106595.56805798056
0.5,10,0.2,9945.856033159014,119784.33327000836
1,10,0.2,8976.697208807975,125280.1163538467
0.01,100,0.2,30569.09253718789,87287.72685821801
0.1,100,0.2,10223.909393129408,110756.62352803448
0.2,100,0.2,8969.203949753673,118207.08756571624
0.5,100,0.2,8162.812287173933,127528.51035586366
1,100,0.2,7695.124400059526,133227.7165447186
