num.trees,mtry,min.node.size,sample.fraction,replace,train_loss,valid_loss
670,10,5,0.8,FALSE,8760.719227690897,59170.1882584245
500,10,5,0.8,FALSE,8807.215601274085,59186.321340490525
100,16,5,0.8,FALSE,7512.827409877722,59554.00602181856
670,16,5,0.8,FALSE,7402.00855076345,58933.10968836482
500,16,5,0.8,FALSE,7411.915220641959,58880.02631845134
100,22,5,0.8,FALSE,6982.252212922049,59541.68653304835
670,22,5,0.8,FALSE,6779.238591704472,59125.29169048751
500,22,5,0.8,FALSE,6766.611814815441,59288.56760629873
100,26,5,0.8,FALSE,6724.629789088358,59945.347472182606
670,26,5,0.8,FALSE,6514.807568075338,59347.17674454583
500,26,5,0.8,FALSE,6539.5783319857765,59346.129881710214
100,3,10,0.8,FALSE,23294.298038627236,63458.81053521877
670,3,10,0.8,FALSE,23067.61285928218,62657.229563791196
500,3,10,0.8,FALSE,23140.643525898733,62689.93125935922
100,10,10,0.8,FALSE,14873.336422533117,59777.7581117241
670,10,10,0.8,FALSE,14610.732268259893,59254.24644536036
500,10,10,0.8,FALSE,14661.5605386505,59424.70941498554
100,16,10,0.8,FALSE,13231.002468104725,59138.52820756594
670,16,10,0.8,FALSE,13037.832413336986,58913.72165947269
500,16,10,0.8,FALSE,12996.235827967394,59160.791352675595
100,22,10,0.8,FALSE,12402.858519492838,59433.47090221348
670,22,10,0.8,FALSE,12205.427662443126,59017.68941790635
500,22,10,0.8,FALSE,12216.317821631252,58918.909048684116
100,26,10,0.8,FALSE,11917.801355433812,59829.05846890957
670,26,10,0.8,FALSE,11877.372852917399,59498.447935815246
500,26,10,0.8,FALSE,11841.297062321164,59293.90774953942
