ncomp,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD,p
23,4422.081172289978,0.5188097880182784,1565.7252124052031,440.2289507262777,0.06946526029995373,67.77566311079212,0.21000000000000002
24,4415.100545732421,0.5210540839279826,1557.892484529117,445.42936622428874,0.07033774393996935,68.2968720808047,0.21000000000000002
25,4409.157746590701,0.5223739775924482,1564.0357102589874,432.3457477781147,0.0677162792083197,63.461800390754554,0.21000000000000002
26,4395.225403621933,0.5276214618602807,1557.662389226017,420.4034875420546,0.06698913825493233,68.53114735995308,0.21000000000000002
27,4364.192455880946,0.533328679524372,1568.3025993905449,428.272875497792,0.0683432020064056,74.0976606874256,0.21000000000000002
28,4312.154131289588,0.544458296289552,1520.6972025210544,407.76436071207576,0.06627476222628655,63.61051094774195,0.21000000000000002
29,4292.644988772437,0.5483426499251408,1519.1729600439392,418.6160309764104,0.06927853642802702,73.36820439439803,0.21000000000000002
30,4290.224759833521,0.5487781400910939,1524.910070929468,424.445582301722,0.06993367757783486,79.7483656024504,0.21000000000000002
31,4285.8847096221,0.5496064585403573,1525.4070949928123,424.7135563501275,0.06973253397687107,75.20521101221108,0.21000000000000002
32,4270.942827792196,0.5522924269671131,1531.32423713062,429.7498331901683,0.06721972990789958,76.4548819474872,0.21000000000000002
33,4249.294676636394,0.5565049561550395,1530.451438270311,435.6905030284413,0.0665579508093717,69.20350313509564,0.21000000000000002
34,4232.405525142435,0.5603644487652575,1511.0590804261165,431.7998596168519,0.06466830177339764,55.07835115097765,0.21000000000000002
35,4228.296120339899,0.5612603266853766,1498.8371140235297,437.796001804288,0.06470949323004681,55.29291789370195,0.21000000000000002
36,4225.49749586686,0.5617106270274618,1497.558044879795,434.1662433056649,0.0640354383507394,59.609232701298055,0.21000000000000002
37,4207.096987808004,0.5655678684072919,1489.2306737193887,415.59317042264996,0.06308305689366599,58.56226188564419,0.21000000000000002
38,4193.283921927708,0.5684416269573912,1485.0884479527542,431.0652525366646,0.0652876825511401,41.347908432988234,0.21000000000000002
39,4182.513638867183,0.5705602661211151,1484.768394061724,436.09700700430585,0.06669172581681693,43.61813032221093,0.21000000000000002
40,4159.392110833185,0.5747699354882718,1476.1024311677195,443.0703016390309,0.06746483560316162,39.98596183856442,0.21000000000000002
41,4149.704600799365,0.5767001180803176,1464.5662263886989,447.88839634263684,0.06930082356374817,45.49225844620521,0.21000000000000002
42,4147.397371587797,0.5772361025190228,1466.6891301731557,446.5798821116015,0.06909617164545538,49.41605664226211,0.21000000000000002
43,4147.622265073996,0.5774046267161757,1462.8851608839975,442.6107158621377,0.06886149551100515,48.71547718923933,0.21000000000000002
44,4150.175830182732,0.5772957139892962,1466.4596044776235,436.0158797115548,0.06816636426116958,52.23216924842717,0.21000000000000002
45,4145.473748101221,0.5785049139878301,1464.9193078636404,430.76006045045267,0.06637745026561367,54.136749865334814,0.21000000000000002
46,4143.357883008432,0.579123205775347,1460.1685731872099,428.2249995909818,0.06630656250154394,51.22931686808934,0.21000000000000002
47,4149.694581682309,0.5781081902651103,1457.8261909169853,425.8342860579309,0.06576437148491254,44.77105382512961,0.21000000000000002
48,4148.718362615453,0.5783303701878407,1459.8241239595907,426.04502137352466,0.06618187992643741,46.03228031946572,0.21000000000000002
49,4148.314882528158,0.5785321218128741,1460.321584045927,425.6636743171434,0.06625225493113296,46.121413598402775,0.21000000000000002
50,4159.746295550016,0.5762820562341955,1460.305791790406,421.2074693737012,0.06534852075244,47.08689864313765,0.21000000000000002
